category,style_name,product_id,url,image_url
Nike,Nike Air Tailwind 79 'Black White',tailwind-79,https://www.kickscrew.com/en-SA/products/nike-air-tailwind-79-black-white-487754-012,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_ef84d485-2959-4d02-9593-51daa4c95dda_x480.jpg?w=384&v=1737441849
Nike,Nike Air Max Correlate 'White Cool Grey',correlate-511416,https://www.kickscrew.com/en-SA/products/nike-air-max-correlate-511416-104,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_fef55f54-33d8-4e02-8404-5e4693dc063f_x480.jpg?w=384&v=1708774985
Nike,Nike Court Majestic Leather 'White Red',red-574236,https://www.kickscrew.com/en-SA/products/nike-court-majestic-leather-white-red-574236-169,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_73a6dc79-f4c6-4c4a-ae3f-4dfb0492a3d9_x480.jpg?w=384&v=1737601554
Nike,Nike Tanjun 'White Black 2020',black-812654,https://www.kickscrew.com/en-SA/products/nike-tanjun-white-black-white-black-812654-101,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_84c4d574-77ac-4621-b83d-1a14ad3ddaa7_x480.jpg?w=384&v=1708779908
Nike,(WMNS) Nike Air Max BW Ultra 'Black White',white-819638,https://www.kickscrew.com/en-SA/products/nike-wmns-air-max-bw-ultra-black-white-819638-001,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_65229db5-8729-443b-a8ad-ba0a21f98d4b_x480.jpg?w=384&v=1708331846
Nike,Nike Zoom Blazer Low SB XT 'Black',black-864348,https://www.kickscrew.com/en-SA/products/nike-sb-skateboard-blazer-zoom-low-xt-black-864348-019,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_f67199f1-dac4-46f3-9488-9b9f90354bda_x480.jpg?w=384&v=1708498821
Nike,Nike Mercurial Victory 6 Dynamic Fit AG Pro 'Green Black',victory-6,https://www.kickscrew.com/en-SA/products/nike-mercurial-victory-6-dynamic-fit-ag-pro-903608-303,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_96023b8d-7a20-4c9c-9b00-d400ce914b3d_x480.jpg?w=384&v=1708660619
Nike,Nike Air VaporMax Plus 'Triple Black',grey-924453,https://www.kickscrew.com/en-PL/products/nike-air-vapormax-plus-black-dark-grey-924453-004,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_0e97d322-d244-47e4-87dc-4ca3a76a2801_x480.jpg?w=384&v=1735880494
Nike,Nike Air VaporMax Plus 'Grid Sunset',black-924453,https://www.kickscrew.com/en-PL/products/nike-air-vapormax-plus-grid-sunset-bright-crimson-reflect-silver-black-924453-604,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_b5b7e231-e50a-4ffc-9ca5-a4a6b67b81f8_x480.jpg?w=384&v=1708692961
Nike,(WMNS) Nike Free RN 2018 'White Black',rn-2018,https://www.kickscrew.com/en-PL/products/nike-womens-wmns-free-rn-2018-white-black-942837-100,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_f2d0b63f-afc8-4ca7-93e0-8035b97bf79f_x480.jpg?w=384&v=1696317155
Nike,Nike Free RN Flyknit 2018 'White Black',flyknit-2018,https://www.kickscrew.com/en-PL/products/nike-free-rn-flyknit-2018-oreo-942838-101,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_bd2f65bf-2484-413a-97e7-ca082e97780d_x480.jpg?w=384&v=1696317182
Nike,Nike Air Max 270 'Triple Black',max-270,https://www.kickscrew.com/en-PL/products/nike-air-max-270-triple-black-ah8050-005,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_8a4ed8e9-9311-41de-bf76-e5dd896942ea_x480.jpg?w=384&v=1696316632
Nike,Nike PG 3 EP 'USA',pg-3,https://www.kickscrew.com/en-PL/products/nike-pg-3-ep-white-ao2608-100,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_17a126db-adf0-421f-8a10-f65971d4cdca_x480.jpg?w=384&v=1696314153
Nike,Nike Hyperdunk X EP 'White Ice',ao7890-101,https://www.kickscrew.com/en-PL/products/nike-hyperdunk-x-ep-white-ao7890-101,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_522ee73c-396c-46db-a56d-f02fb97d923c_x480.jpg?w=384&v=1708497226
Nike,(WMNS) Nike Shox TL 'Chrome',ar3566-003,https://www.kickscrew.com/en-PL/products/nike-womens-wmns-shox-tl-pure-platinum-ar3566-003,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_ace54139-55ea-49aa-aa72-70e2fe61e0bd_x480.jpg?w=384&v=1696313466
Nike,(WMNS) Nike Shox TL 'Khaki Ironstone',ar3566-201,https://www.kickscrew.com/en-PL/products/wmns-nike-shox-tl-khaki-ironstone-ar3566-201,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_a863b256-c342-48ce-8e75-ecc36d4f821a_x480.jpg?w=384&v=1736502615
Nike,Nike Air Fear Of God 1 'Oatmeal',god-1,https://www.kickscrew.com/en-PL/products/nike-air-fear-of-god-1-oatmeal-ar4237-900,https://cdn.shopify.com/s/files/1/0603/3031/1875/products/main-square_3aa79914-7f87-4b79-b603-718247995282_x480.jpg?w=384&v=1696311722
Nike,Nike Roshe Golf Tour 'Summit White Black',ar5580-100,https://www.kickscrew.com/en-PL/products/nike-roshe-golf-tour-summit-white-black-ar5580-100,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_bd308322-25f2-4f9e-8777-1ce6ac3b80d3_x480.jpg?w=384&v=1710901571
Nike,Nike ISPA Drifter Split 'Iron Grey',av0733-002,https://www.kickscrew.com/en-PL/products/nike-ispa-drifter-split-iron-grey-av0733-002,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_0c6ceed8-ec25-4b21-92db-a7e42d1eee57_x480.jpg?w=384&v=1708776682
Nike,(WMNS) Nike M2K Tekno 'White Grey',bq3378-100,https://www.kickscrew.com/en-PL/products/nike-womens-wmns-m2k-tenko-white-bq3378-100,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_67d36db8-37fc-41dc-834d-e46db680e6ba_x480.jpg?w=384&v=1708496554
Nike,Nike Flight Legacy 'Wolf Grey Mystic Navy',bq4212-001,https://www.kickscrew.com/en-PL/products/nike-flight-legacy-wolf-grey-mystic-navy-bq4212-001,https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_6cdbd774-34c5-481a-bdc9-578699255224_x480.jpg?w=384&v=1708371167
